f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,Decision
0.55082,0.29061,0.74968,0.066536,0.37211,0.82955,0.61653,0.49658,0.25164,0.71378,0.89159,0.33972,0.8102,0.52808,yes
0.54238,0.30508,0.81216,0.066561,0.35939,0.83946,0.53703,0.51553,0.25211,0.72616,0.89185,0.34165,0.74331,0.50835,yes
0.51419,0.26633,0.70002,0.066554,0.30475,0.84783,0.58863,0.52373,0.26619,0.72636,0.89193,0.33452,0.73288,0.58697,yes
0.56168,0.24486,0.68313,0.066554,0.34286,0.87526,0.55038,0.50642,0.24441,0.72056,0.89187,0.33349,0.86554,0.42826,yes
0.56213,0.33837,0.71979,0.61159,0.38733,0.827,0.48021,0.51138,0.24081,0.72034,0.89176,0.33456,0.78309,0.43297,yes
0.54844,0.26823,0.71369,0.066499,0.3371,0.83689,0.46296,0.5212,0.26367,0.72716,0.8916,0.32246,0.71606,0.55367,yes
0.53509,0.22366,0.67031,0.066589,0.31416,0.8323,0.68779,0.50506,0.30444,0.72814,0.89195,0.33699,0.7338,0.62911,yes
0.19584,0.11692,0.68611,0.066903,0.021423,0.31602,0.80496,0.61214,0.12605,0.74152,0.88813,0.05366,0.41087,0.6943,no
0.69523,0.052499,0.71515,0.066155,0.039905,0.33703,0.80164,0.35073,0.14442,0.7205,0.89056,0.03911,0.29149,0.64235,no
0.5813,0.069349,0.71394,0.066561,0.033027,0.36335,0.85083,0.62641,0.13464,0.73665,0.89099,0.067808,0.42888,0.64209,no
0.60878,0.085861,0.72636,0.066562,0.039106,0.32883,0.76535,0.59193,0.094075,0.72845,0.89145,0.053848,0.3923,0.70842,no
0.23382,0.14888,0.68812,0.2433,0.039287,0.37894,0.69688,0.56237,0.072979,0.7428,0.88982,0.048799,0.31895,0.63889,no
0.41979,0.093376,0.70242,0.066224,0.039213,0.31323,0.79969,0.69944,0.06505,0.7448,0.88799,0.052331,0.42908,0.71665,no
0.20523,0.13031,0.6963,0.066561,0.028253,0.20682,0.73508,0.61626,0.086738,0.72422,0.88942,0.049279,0.39478,0.73966,no
0.48542,0.12945,0.73723,0.065765,0.041978,0.30889,0.69206,0.70785,0.086253,0.72972,0.88788,0.062424,0.45189,0.69844,no
0.26491,0.068123,0.70271,0.066571,0.032038,0.34701,0.88566,0.68399,0.10233,0.73848,0.89041,0.060632,0.43288,0.69021,no
0.017055,0.19633,0.65273,0.066562,0.03448,0.15347,0.7346,0.67001,0.094352,0.72928,0.88887,0.056724,0.42197,0.72708,no
0.21172,0.097251,0.68576,0.066398,0.033554,0.34633,0.86775,0.5943,0.089549,0.74939,0.88556,0.033852,0.27501,0.62944,no
